date,time,fuel_type,mw,fuel_percentage_of_total,is_renewable
10/23/2025,8:00:00 PM,Oil,446,0.005,FALSE
10/23/2025,8:00:00 PM,Other Renewables,505,0.005,TRUE
10/23/2025,8:00:00 PM,Solar,7518,0.086,TRUE
10/23/2025,8:00:00 PM,Storage,0,0,FALSE
10/23/2025,8:00:00 PM,Wind,5294,0.061,TRUE
10/23/2025,7:00:00 PM,Coal,11792,0.135,FALSE
10/23/2025,7:00:00 PM,Gas,33826,0.388,FALSE
10/23/2025,7:00:00 PM,Hydro,854,0.009,TRUE
10/23/2025,7:00:00 PM,Multiple Fuels,805,0.009,FALSE
10/23/2025,7:00:00 PM,Nuclear,25757,0.296,FALSE
10/23/2025,7:00:00 PM,Oil,468,0.005,FALSE
10/23/2025,7:00:00 PM,Other Renewables,506,0.005,TRUE
10/23/2025,7:00:00 PM,Solar,7870,0.09,TRUE
10/23/2025,7:00:00 PM,Storage,0,0,FALSE
10/23/2025,7:00:00 PM,Wind,5129,0.058,TRUE
10/23/2025,6:00:00 PM,Coal,12039,0.138,FALSE
10/23/2025,6:00:00 PM,Gas,33957,0.39,FALSE
10/23/2025,6:00:00 PM,Hydro,406,0.004,TRUE
10/23/2025,6:00:00 PM,Multiple Fuels,853,0.009,FALSE
10/23/2025,6:00:00 PM,Nuclear,25662,0.294,FALSE
10/23/2025,6:00:00 PM,Oil,443,0.005,FALSE
10/23/2025,6:00:00 PM,Other Renewables,510,0.005,TRUE
10/23/2025,6:00:00 PM,Solar,8061,0.092,TRUE
10/23/2025,6:00:00 PM,Storage,0,0,FALSE
10/23/2025,6:00:00 PM,Wind,5086,0.058,TRUE
10/23/2025,5:00:00 PM,Coal,12158,0.139,FALSE
10/23/2025,5:00:00 PM,Gas,34096,0.39,FALSE
10/23/2025,5:00:00 PM,Hydro,232,0.002,TRUE
10/23/2025,5:00:00 PM,Multiple Fuels,846,0.009,FALSE
10/23/2025,5:00:00 PM,Nuclear,25565,0.292,FALSE
10/23/2025,5:00:00 PM,Oil,461,0.005,FALSE
10/23/2025,5:00:00 PM,Other Renewables,506,0.005,TRUE
10/23/2025,5:00:00 PM,Solar,8074,0.092,TRUE
10/23/2025,5:00:00 PM,Storage,0,0,FALSE
10/23/2025,5:00:00 PM,Wind,5417,0.062,TRUE
